,Crime_Type,Charges_Filed,Time_Served_Months,Prior_Criminal_History,Risk_of_Flight,Influence_on_Trial,Bail_Decision,Socio_Economic_Status
162,Drug-related,"['Narcotics Act', 'Cyber Laws', 'Economic Offenses Act']",43,1,0.237070391174178,0.2577552156281096,Rejected,High
163,Violent,"['IPC 302', 'Narcotics Act', 'Economic Offenses Act']",36,0,0.447272968157122,0.2264296050876499,Rejected,Low
164,Economic,"['IPC 307', 'IPC 302']",44,0,0.0723763931941224,0.4807140564843559,Granted,Middle
165,Non-violent,['IPC 379'],10,0,0.9541316415710726,0.4988510237442742,Rejected,Middle
166,Cyber Crime,['IPC 420'],31,1,0.2232554010693609,0.2150852287850928,Granted,Low
167,Economic,"['IPC 307', 'IPC 307', 'IPC 379']",6,0,0.9223077754835848,0.2718607267259157,Rejected,High
168,Violent,['IPC 307'],1,1,0.4258931550366818,0.1697052391552449,Granted,Low
169,Cyber Crime,['Cyber Laws'],7,1,0.985524133255218,0.7184601783231668,Rejected,Low
170,Violent,"['IPC 379', 'IPC 379', 'IPC 307']",27,1,0.5540583834602107,0.7700890312540819,Granted,Middle
171,Violent,['Narcotics Act'],21,0,0.9308328641758076,0.4623284974592826,Granted,Low
172,Non-violent,['IPC 420'],28,1,0.0053489886942228,0.7140870226850174,Rejected,High
173,Cyber Crime,"['IPC 307', 'IPC 307']",16,0,0.7482388061809001,0.7359353919374455,Granted,Low
174,Cyber Crime,"['Cyber Laws', 'IPC 420']",46,0,0.9030506531025154,0.1382755276778086,Rejected,Middle
175,Non-violent,['Cyber Laws'],23,0,0.139720566978954,0.9661780248345369,Rejected,High
176,Economic,"['IPC 302', 'IPC 307']",20,0,0.0961258517321514,0.821031947096431,Granted,Middle
177,Violent,['IPC 302'],38,1,0.4245726071859556,0.2044834611958235,Rejected,Low
178,Drug-related,"['IPC 379', 'Economic Offenses Act', 'Economic Offenses Act']",25,1,0.9336789061329352,0.1861650357460702,Granted,Low
179,Violent,"['IPC 379', 'Narcotics Act']",28,1,0.5423865601904387,0.1256611455795827,Granted,Middle
180,Violent,"['IPC 420', 'Economic Offenses Act']",5,1,0.5274564637217322,0.1383785625419183,Rejected,Middle
181,Economic,['IPC 420'],21,0,0.1411261182993218,0.7481617990286962,Rejected,High
182,Violent,"['Cyber Laws', 'IPC 379']",18,0,0.0007895110932187,0.4696542569516235,Rejected,Middle
183,Non-violent,"['Narcotics Act', 'Cyber Laws']",47,0,0.8101400907454612,0.7829341727398672,Rejected,Middle
184,Non-violent,['Cyber Laws'],6,0,0.0875745629862382,0.7462548943502054,Rejected,Low
185,Cyber Crime,"['Narcotics Act', 'IPC 307', 'Cyber Laws']",29,1,0.633849818735324,0.6046127135052216,Granted,Low
186,Drug-related,"['IPC 420', 'IPC 420']",19,0,0.9146164545151916,0.6863666065786795,Granted,Middle
187,Violent,['Narcotics Act'],33,1,0.208651913158431,0.0183557243791417,Rejected,Middle
188,Violent,['Economic Offenses Act'],1,0,0.6652728362369108,0.3117776468050219,Rejected,Low
189,Economic,"['IPC 420', 'Narcotics Act', 'Cyber Laws']",45,0,0.0786985767075094,0.6378221792594102,Rejected,High
190,Non-violent,"['Narcotics Act', 'IPC 307', 'Economic Offenses Act']",3,0,0.603755143837613,0.0093449534862442,Granted,High
191,Drug-related,"['IPC 307', 'Cyber Laws']",42,0,0.1639317209532027,0.0329769436825934,Granted,High
192,Cyber Crime,"['IPC 379', 'Economic Offenses Act']",21,1,0.735953560515178,0.8518879824703832,Granted,High
193,Non-violent,"['IPC 302', 'Economic Offenses Act', 'Cyber Laws']",35,1,0.3012312947939082,0.6840248616920718,Rejected,Low
194,Cyber Crime,"['Cyber Laws', 'Narcotics Act', 'IPC 420']",41,1,0.4633910088046462,0.2653697331203439,Rejected,Middle
195,Economic,"['IPC 307', 'Cyber Laws']",40,1,0.5994305420276217,0.687962840118709,Granted,High
196,Economic,['Economic Offenses Act'],3,0,0.1712734106662395,0.7924566691392633,Rejected,Low
197,Violent,"['Narcotics Act', 'IPC 420', 'Cyber Laws']",25,0,0.7416378186176209,0.3067942831101012,Rejected,Middle
198,Drug-related,"['IPC 302', 'Economic Offenses Act', 'IPC 302']",45,1,0.3026403406368145,0.0360373774991874,Granted,High
199,Cyber Crime,"['Economic Offenses Act', 'IPC 420']",38,1,0.6623718599127535,0.9327791246877344,Granted,Middle
200,Non-violent,['IPC 379'],45,0,0.1582830506993736,0.3451798382956305,Rejected,High
201,Economic,"['Economic Offenses Act', 'IPC 379', 'IPC 302']",20,0,0.6881176592063503,0.1064817632847063,Granted,Middle
202,Violent,"['Narcotics Act', 'IPC 302']",44,1,0.1281880728104617,0.4918568713931474,Rejected,High
203,Violent,['Cyber Laws'],45,1,0.4253564962699836,0.7684677956641338,Granted,High
204,Cyber Crime,"['IPC 379', 'Economic Offenses Act', 'Cyber Laws']",34,1,0.2472060737388768,0.2216473146175591,Granted,Middle
205,Economic,"['Cyber Laws', 'IPC 420', 'IPC 379']",21,0,0.7483752494281826,0.2694900501333633,Rejected,Middle
206,Drug-related,"['IPC 302', 'IPC 307', 'Narcotics Act']",23,1,0.2620350045068745,0.2427149867985831,Rejected,Middle
207,Economic,['IPC 420'],6,1,0.8817173063953962,0.9916730528316782,Granted,Low
208,Cyber Crime,['IPC 307'],13,1,0.8918202114066128,0.1974037337305425,Rejected,Low
209,Cyber Crime,"['IPC 379', 'Narcotics Act']",23,1,0.1964413152227858,0.575520216966124,Granted,Middle
210,Economic,"['IPC 302', 'Cyber Laws', 'Cyber Laws']",9,1,0.6138459450077243,0.9252646416569644,Rejected,Low
211,Cyber Crime,"['Narcotics Act', 'Cyber Laws']",17,0,0.0877176417199643,0.1468965688777792,Granted,High
212,Economic,['IPC 379'],2,1,0.3915370996016292,0.9708541978677002,Granted,Middle
213,Non-violent,['IPC 379'],19,0,0.7133217295012723,0.9474772343956246,Granted,Low
214,Economic,['IPC 379'],19,1,0.6594232468499163,0.8845719870582626,Rejected,Middle
215,Economic,"['IPC 379', 'Cyber Laws']",7,1,0.624700669406608,0.2145565213300022,Granted,High
216,Cyber Crime,"['IPC 379', 'Narcotics Act']",42,1,0.2825408636624436,0.6340550560109833,Granted,High
217,Cyber Crime,['Narcotics Act'],42,0,0.378024949434402,0.7608914729612402,Granted,Low
218,Violent,['Narcotics Act'],20,0,0.1029461447002861,0.9860279281964296,Granted,High
219,Violent,"['Narcotics Act', 'IPC 420']",9,0,0.719022820433601,0.1804238220813704,Rejected,Middle
220,Non-violent,"['IPC 307', 'IPC 420']",17,1,0.5038887967912735,0.7660258995192964,Rejected,Low
221,Violent,"['Economic Offenses Act', 'Economic Offenses Act']",27,1,0.7087656323456546,0.3388011699271129,Granted,Middle
222,Economic,"['IPC 379', 'IPC 302']",47,0,0.2489435247968727,0.1756264655680023,Granted,Middle
223,Cyber Crime,['IPC 420'],2,0,0.3244382286350662,0.4213769412138549,Rejected,Middle
224,Violent,"['IPC 302', 'Cyber Laws']",36,1,0.3342153372601146,0.7938359121486164,Granted,High
225,Violent,"['IPC 420', 'IPC 420']",19,0,0.0257424097472162,0.4648498037040521,Rejected,Middle
226,Non-violent,['Economic Offenses Act'],17,1,0.3410478728306235,0.5375231002030485,Granted,High
227,Non-violent,['IPC 420'],5,0,0.8033045735180335,0.9951594102001212,Rejected,Middle
228,Economic,['Cyber Laws'],39,0,0.8972984957497385,0.399109299557426,Granted,High
229,Cyber Crime,"['Cyber Laws', 'Cyber Laws']",18,0,0.5182183156359275,0.6154007547092398,Rejected,High
230,Non-violent,"['IPC 379', 'Economic Offenses Act', 'IPC 420']",7,1,0.4555016952192202,0.3652442016153718,Rejected,High
231,Violent,"['IPC 307', 'Cyber Laws']",17,1,0.0308246186993702,0.3927856463287049,Rejected,Middle
232,Cyber Crime,"['IPC 307', 'IPC 302', 'Narcotics Act']",39,0,0.8792043375853826,0.6956407534454081,Granted,Middle
233,Cyber Crime,"['IPC 420', 'IPC 302']",36,1,0.0130102134258727,0.9378869760948836,Rejected,High
234,Violent,['IPC 420'],40,1,0.9447500802102118,0.5423589504923214,Rejected,Middle
235,Non-violent,"['IPC 420', 'IPC 307', 'IPC 307']",45,1,0.4892162486880906,0.7683999289487798,Granted,High
236,Violent,"['IPC 302', 'Narcotics Act', 'IPC 420']",4,1,0.3419344935747266,0.0892065588169638,Granted,Middle
237,Cyber Crime,"['IPC 302', 'IPC 379']",38,0,0.92421843484266,0.2111580374319269,Granted,High
238,Drug-related,"['Cyber Laws', 'Economic Offenses Act', 'Economic Offenses Act']",25,1,0.0243909931100967,0.5021316409195324,Granted,High
239,Drug-related,"['IPC 379', 'IPC 420']",5,1,0.5814248948690871,0.0200117236287747,Rejected,Low
240,Economic,"['Economic Offenses Act', 'Narcotics Act', 'IPC 307']",30,0,0.5489325244993376,0.2528549787625588,Granted,Middle
241,Violent,"['IPC 420', 'Cyber Laws']",12,1,0.219320401211382,0.5174012898249661,Granted,Middle
242,Violent,['Narcotics Act'],4,1,0.4288874313502105,0.0149611982563007,Granted,Low
243,Economic,"['Narcotics Act', 'IPC 307']",24,1,0.6522640059437702,0.2645462862260417,Granted,High
244,Economic,['IPC 379'],29,0,0.7271311968819275,0.5140308194758695,Granted,High
245,Economic,"['IPC 307', 'Narcotics Act', 'IPC 302']",9,0,0.0007168587065797,0.5731492479812457,Granted,Low
246,Cyber Crime,"['IPC 379', 'IPC 302', 'Narcotics Act']",4,1,0.9368534300910152,0.9257516930553056,Granted,Low
247,Violent,['Narcotics Act'],24,1,0.1645253723928124,0.6453456232506078,Rejected,High
