Crime_Type,Charges_Filed,Time_Served_Months,Prior_Criminal_History,Risk_of_Flight,Influence_on_Trial,Bail_Decision,Socio_Economic_Status
Cyber Crime,"['Cyber Laws', 'Narcotics Act', 'IPC 420']",9,0,0.9166431026939161,0.05085396883373983,Rejected,Middle
Cyber Crime,['IPC 302'],18,1,0.7054966519346239,0.22112326288901496,Granted,Low
Economic,"['Narcotics Act', 'IPC 420']",43,1,0.671779270254866,0.2742618501588997,Granted,Low
Cyber Crime,"['Cyber Laws', 'IPC 307']",35,1,0.3943411463506643,0.5476119841428094,Rejected,High
Cyber Crime,"['IPC 302', 'Narcotics Act', 'IPC 420']",34,1,0.0012844255268014138,0.14451522390695026,Granted,Middle
Violent,"['IPC 420', 'IPC 307']",41,0,0.12015925873562194,0.13394121940000037,Granted,Middle
Economic,['Cyber Laws'],14,0,0.5345545447560391,0.943788889207958,Rejected,Middle
Drug-related,['Economic Offenses Act'],4,1,0.6751298858444197,0.804202907297781,Granted,Low
Economic,"['Narcotics Act', 'IPC 307']",29,0,0.4174482838964625,0.1806549020911703,Granted,High
Drug-related,['Narcotics Act'],41,0,0.7306790115283902,0.40656780790549096,Granted,Low
Violent,"['IPC 379', 'IPC 302']",45,0,0.5218622953321788,0.35562199925756555,Granted,High
Non-violent,['IPC 302'],15,1,0.07417619559431221,0.7910040740654073,Rejected,High
Cyber Crime,"['IPC 379', 'IPC 420', 'Cyber Laws']",28,0,0.19201625096794883,0.5102129164781221,Rejected,Low
Violent,"['IPC 307', 'IPC 420', 'IPC 307']",42,0,0.8399982232439429,0.12784973699346702,Granted,Low
Cyber Crime,"['Cyber Laws', 'IPC 379', 'Cyber Laws']",16,1,0.7249127466244395,0.7389920631562439,Granted,High
Non-violent,"['Economic Offenses Act', 'Cyber Laws', 'IPC 420']",12,0,0.894761987012495,0.39688797822491895,Granted,Low
Non-violent,['IPC 420'],5,1,0.11755724912093657,0.26292424763214706,Rejected,Low
Violent,"['IPC 420', 'Economic Offenses Act']",34,1,0.9902225346150739,0.37549862202072015,Granted,High
Non-violent,['IPC 307'],42,1,0.2094067139499336,0.49775656360689635,Granted,High
Drug-related,"['IPC 307', 'Narcotics Act']",1,0,0.01177987628664201,0.34311551641700944,Rejected,Middle
Non-violent,"['Cyber Laws', 'IPC 307', 'Cyber Laws']",39,0,0.9974229390535542,0.24190577259175783,Granted,Low
Cyber Crime,"['Cyber Laws', 'IPC 379']",32,1,0.28107388544511314,0.39850202880398033,Rejected,High
Cyber Crime,"['IPC 420', 'Cyber Laws', 'IPC 302']",26,1,0.6680194525125599,0.019172910749898242,Granted,Low
Cyber Crime,"['Narcotics Act', 'IPC 379', 'IPC 307']",17,1,0.1766823141763052,0.7724978460963139,Rejected,Low
Cyber Crime,"['IPC 307', 'IPC 379', 'IPC 307']",27,1,0.5802285321991417,0.1709448935675858,Granted,High
Drug-related,"['IPC 420', 'IPC 307']",24,1,0.9040349864545593,0.043904613630637246,Granted,Middle
Economic,"['IPC 302', 'IPC 307']",35,1,0.3201811674284386,0.6536986929050792,Rejected,High
Violent,['Narcotics Act'],46,0,0.6702539760443592,0.7739361288236722,Rejected,High
Cyber Crime,"['IPC 302', 'IPC 420']",42,1,0.1879035887984165,0.8138291315928432,Rejected,Low
Non-violent,"['Cyber Laws', 'IPC 302', 'Cyber Laws']",39,1,0.6247953987187252,0.49350918266059995,Rejected,Middle
Cyber Crime,"['Cyber Laws', 'Narcotics Act']",26,1,0.33645035181751015,0.2053681846899853,Rejected,High
Non-violent,"['IPC 379', 'IPC 302', 'Cyber Laws']",38,0,0.21120825858795167,0.7372276772498267,Granted,Low
Non-violent,['Narcotics Act'],23,0,0.31318205070363514,0.6997130771543372,Rejected,High
Cyber Crime,['IPC 307'],22,0,0.17884106850779935,0.24627073410317324,Rejected,Low
Drug-related,['IPC 307'],4,0,0.9019161078378828,0.903407755862793,Rejected,High
Non-violent,['Economic Offenses Act'],9,1,0.39718688631712884,0.104371458082829,Rejected,Middle
Non-violent,['IPC 420'],4,0,0.24527930497436734,0.9826882395913257,Granted,High
Cyber Crime,['Economic Offenses Act'],7,1,0.4484078410159329,0.8602478109774646,Granted,Low
Non-violent,"['IPC 420', 'IPC 307']",23,1,0.32053616680649555,0.6878986454790752,Granted,High
Non-violent,['IPC 420'],2,1,0.744419253813326,0.9387498882798329,Granted,Middle
Cyber Crime,"['Cyber Laws', 'Narcotics Act', 'IPC 379']",24,1,0.9712199118854944,0.7223111683237078,Granted,Middle
Cyber Crime,"['IPC 307', 'IPC 420']",40,1,0.4380336566976468,0.19045699703004593,Rejected,Middle
Violent,"['IPC 379', 'Economic Offenses Act', 'IPC 379']",31,1,0.8610333999722404,0.44215613811281174,Granted,Middle
Drug-related,['IPC 379'],47,0,0.5658630735596195,0.07150302433163536,Granted,Low
Drug-related,"['IPC 307', 'IPC 302']",31,0,0.15723566509423348,0.3896574222881154,Rejected,High
Non-violent,"['Cyber Laws', 'IPC 379']",47,0,0.6906227420813416,0.7416030197372087,Rejected,Middle
Drug-related,"['Narcotics Act', 'Economic Offenses Act']",40,0,0.5134344971258201,0.3864433509308174,Granted,High
Non-violent,"['IPC 302', 'Economic Offenses Act', 'IPC 379']",43,0,0.6506065232521034,0.3302941754681341,Granted,Low
Violent,['IPC 379'],34,1,0.889687412571665,0.5953557225103119,Rejected,High
Cyber Crime,['IPC 302'],24,0,0.4404345706560461,0.872204528998895,Granted,High
Cyber Crime,"['Cyber Laws', 'IPC 379']",26,0,0.9011776232173556,0.04758319254611243,Rejected,Middle
Cyber Crime,"['IPC 420', 'IPC 302', 'IPC 420']",16,0,0.7506690142816549,0.3854704346997354,Rejected,Middle
Drug-related,"['IPC 302', 'Narcotics Act', 'Economic Offenses Act']",47,1,0.48860492587798476,0.1582407418152627,Granted,Low
Violent,['IPC 420'],13,1,0.6032221356579637,0.6953542507318696,Granted,High
Drug-related,"['Economic Offenses Act', 'IPC 307']",15,1,0.32558113251901144,0.10572456043113487,Granted,Low
Drug-related,"['Narcotics Act', 'IPC 420', 'Economic Offenses Act']",27,0,0.9835972997387742,0.6648077585802445,Rejected,Low
Violent,"['Narcotics Act', 'IPC 379']",4,0,0.667351163050396,0.2861808707979073,Rejected,Low
Violent,"['IPC 379', 'IPC 420', 'Cyber Laws']",16,0,0.043846852496629896,0.1989168137372247,Granted,Middle
Violent,"['Economic Offenses Act', 'Narcotics Act']",30,0,0.32662190574800876,0.9363525578249854,Granted,Middle
Violent,['Cyber Laws'],44,0,0.6233144337590575,0.018524576745955867,Granted,High
Cyber Crime,['Cyber Laws'],30,1,0.0563332777992398,0.43777727188956894,Rejected,High
Economic,"['IPC 307', 'Cyber Laws', 'IPC 379']",36,0,0.023884191319142767,0.02162699246179378,Rejected,High
Economic,['Cyber Laws'],3,1,0.45002423952780257,0.483593048104329,Rejected,Middle
Violent,"['Economic Offenses Act', 'Narcotics Act']",22,0,0.33269017969267,0.5010473777944182,Granted,Middle
Economic,"['Economic Offenses Act', 'IPC 307']",22,1,0.4382986080331659,0.321662471394747,Rejected,Low
Economic,"['Narcotics Act', 'IPC 302', 'Narcotics Act']",12,1,0.26269330988000517,0.13216177752502367,Rejected,Middle
Violent,['IPC 307'],21,1,0.1647177469429809,0.3763875377344753,Granted,Low
Economic,"['Narcotics Act', 'Narcotics Act']",4,1,0.6891433569803377,0.672262939932566,Rejected,Low
Drug-related,['IPC 307'],31,0,0.5145711162678005,0.7823958086444591,Granted,Middle
Non-violent,['Narcotics Act'],44,0,0.20015421124936683,0.5307506023881423,Rejected,Low
Non-violent,['IPC 379'],31,0,0.3195894262599983,0.5898343944397556,Granted,Low
Violent,['IPC 420'],23,1,0.5918079076633259,0.2006163711246527,Granted,High
Cyber Crime,"['Economic Offenses Act', 'Narcotics Act', 'IPC 420']",20,0,0.07222934827247784,0.28733033322764945,Rejected,Low
Violent,"['Narcotics Act', 'IPC 307', 'Cyber Laws']",15,0,0.14745300926617955,0.16189561005235842,Granted,Middle
Cyber Crime,"['IPC 420', 'IPC 420']",23,0,0.07324560410739012,0.24929535000461134,Rejected,Middle
Non-violent,"['IPC 379', 'IPC 302']",28,0,0.8123173327141189,0.22488678022553177,Granted,Low
Violent,['IPC 420'],16,1,0.7524092332120093,0.5194487863912376,Granted,High
Drug-related,['Cyber Laws'],37,1,0.7533129318792571,0.5626887557907294,Granted,Middle
Economic,"['Narcotics Act', 'IPC 307']",21,0,0.716325343476028,0.9449474208215045,Rejected,Middle
Cyber Crime,['IPC 302'],15,0,0.6693854236698692,0.19557064710152305,Granted,High
Economic,['IPC 302'],17,0,0.476991915378175,0.6416757101614959,Granted,Low
Economic,['IPC 302'],37,1,0.642278163507115,0.8172592689875229,Rejected,Middle
Violent,['IPC 307'],13,1,0.03836155478797465,0.5602414637830525,Granted,Low
Economic,['IPC 302'],19,1,0.6214644226567846,0.2550036525010757,Granted,Low
Drug-related,"['IPC 307', 'IPC 307']",30,0,0.7778777055368772,0.2625502300200002,Granted,Low
Economic,['IPC 420'],45,1,0.5003583603843902,0.03925305307099991,Granted,Low
Violent,"['Economic Offenses Act', 'IPC 307', 'IPC 379']",18,1,0.35751332842723693,0.3054442265484817,Rejected,Middle
Drug-related,"['IPC 302', 'Economic Offenses Act']",14,1,0.2774267348009791,0.7446036790033801,Granted,High
Non-violent,['IPC 420'],36,1,0.6428020501620825,0.04751775720711038,Granted,Middle
Economic,"['Narcotics Act', 'IPC 379', 'Narcotics Act']",36,1,0.6928011986299087,0.21929528250483066,Rejected,High
Violent,['Economic Offenses Act'],20,0,0.8709675998625426,0.7062324985317819,Granted,Low
Non-violent,['Narcotics Act'],19,0,0.34233408246099073,0.7826515628228766,Granted,High
Non-violent,['Economic Offenses Act'],45,0,0.7697723073855856,0.4553184100619284,Rejected,Low
Cyber Crime,"['IPC 302', 'Narcotics Act', 'IPC 379']",44,0,0.5613558241893379,0.6980743384786489,Rejected,Middle
Drug-related,"['IPC 302', 'Narcotics Act', 'IPC 420']",7,1,0.8828364906780791,0.387952168654892,Rejected,Middle
Economic,['IPC 307'],44,0,0.5278121082956208,0.15991324502412751,Rejected,High
Violent,"['Cyber Laws', 'IPC 420', 'IPC 379']",4,0,0.5176298283979672,0.3981494935229065,Granted,Low
Cyber Crime,"['IPC 379', 'Economic Offenses Act', 'IPC 379']",34,0,0.5778770814409091,0.5799678202031429,Rejected,Low
Drug-related,"['IPC 379', 'IPC 307', 'Narcotics Act']",2,1,0.7493153551424344,0.9480532818528903,Granted,High
Cyber Crime,['Cyber Laws'],5,0,0.9646904788284609,0.06875095208867732,Rejected,Low
Drug-related,"['IPC 307', 'Cyber Laws']",10,1,0.07356335421576565,0.5073940938449606,Granted,Low
Drug-related,"['IPC 420', 'IPC 302', 'Economic Offenses Act']",32,1,0.05343460239101716,0.3289197782107244,Rejected,Low
Economic,['IPC 302'],42,1,0.9375503374073385,0.5083116942766945,Rejected,Middle
Drug-related,"['Economic Offenses Act', 'IPC 307']",41,0,0.5298756255182061,0.023975447376531678,Granted,Middle
Cyber Crime,"['IPC 302', 'IPC 420', 'Cyber Laws']",13,1,0.6149030145669361,0.3130253547015813,Rejected,Middle
Drug-related,"['IPC 302', 'IPC 302']",39,0,0.48242360159472886,0.819868147527005,Rejected,Low
Economic,['IPC 307'],5,0,0.09365745260747449,0.5539417338546375,Rejected,Middle
Economic,"['Cyber Laws', 'Economic Offenses Act', 'IPC 307']",10,0,0.7680893784186665,0.4505824928161174,Granted,Low
Cyber Crime,"['Narcotics Act', 'IPC 420']",10,1,0.7472246450885869,0.2855250717153396,Rejected,Low
Non-violent,"['IPC 307', 'Cyber Laws', 'Narcotics Act']",38,1,0.311703321492812,0.2980425227913559,Rejected,High
Non-violent,['Economic Offenses Act'],27,0,0.3062392452284004,0.38310143359058446,Granted,Low
Drug-related,"['IPC 379', 'IPC 307']",21,1,0.8378413809055185,0.8355707099645604,Granted,Middle
Violent,"['IPC 302', 'IPC 307', 'Economic Offenses Act']",8,1,0.07235725774132662,0.9672132068082684,Rejected,Middle
Drug-related,['IPC 302'],1,1,0.8811051483565658,0.4386553813503745,Granted,Low
Cyber Crime,"['Cyber Laws', 'IPC 420', 'IPC 307']",28,0,0.2566616898959144,0.39335283874776183,Granted,Middle
Cyber Crime,['IPC 307'],39,1,0.5929847477554939,0.8465507758198628,Granted,Low
Cyber Crime,"['IPC 420', 'Cyber Laws']",14,1,0.9359941790017777,0.4269053206363036,Rejected,High
Cyber Crime,['IPC 420'],21,0,0.6781225015366464,0.5520181722956512,Rejected,Low
Cyber Crime,"['Cyber Laws', 'IPC 302', 'Narcotics Act']",30,1,0.4144298124670366,0.23094166459874443,Granted,Low
Economic,"['IPC 307', 'Cyber Laws', 'Economic Offenses Act']",21,0,0.6895342089054152,0.7435025357790752,Rejected,High
Non-violent,"['IPC 302', 'IPC 420', 'IPC 302']",9,1,0.3439796363163702,0.5319883182707819,Granted,Middle
Cyber Crime,"['IPC 307', 'Narcotics Act', 'Narcotics Act']",17,1,0.27725841634918613,0.8090345502403417,Rejected,High
Violent,"['Narcotics Act', 'Cyber Laws']",5,1,0.9966832779346797,0.7807327300286697,Granted,High
Violent,"['Cyber Laws', 'Economic Offenses Act']",31,1,0.7507902311797877,0.21500476827002857,Rejected,Low
Violent,"['IPC 420', 'IPC 379', 'Cyber Laws']",40,1,0.6447199773818176,0.7156355505577624,Granted,Low
Violent,"['IPC 379', 'IPC 302']",38,1,0.3552896432193188,0.8000544079513714,Rejected,High
Economic,"['IPC 420', 'Narcotics Act']",43,0,0.04916082915504816,0.3461072407823951,Rejected,Middle
Violent,['IPC 307'],19,1,0.03105687603515561,0.17260911290227454,Granted,High
Cyber Crime,"['Narcotics Act', 'Narcotics Act']",36,1,0.5541812554487988,0.00263215557958818,Rejected,Middle
Drug-related,"['IPC 420', 'IPC 379', 'IPC 307']",33,1,0.7620327210390511,0.45090365309314817,Rejected,High
Violent,"['Economic Offenses Act', 'IPC 379', 'Economic Offenses Act']",13,0,0.5373791904438551,0.3524327315388416,Rejected,High
Economic,['Cyber Laws'],14,0,0.8407850719391146,0.5549098338254089,Rejected,Middle
Economic,"['Narcotics Act', 'Narcotics Act', 'IPC 302']",33,0,0.03342653309322163,0.18804109258878576,Rejected,High
Violent,"['Economic Offenses Act', 'Cyber Laws', 'IPC 379']",29,1,0.3667520764259401,0.8596655476664752,Rejected,Low
Drug-related,"['Narcotics Act', 'Cyber Laws', 'Economic Offenses Act']",43,1,0.23707039117417805,0.25775521562810966,Rejected,High
Violent,"['IPC 302', 'Narcotics Act', 'Economic Offenses Act']",36,0,0.44727296815712203,0.22642960508764998,Rejected,Low
Economic,"['IPC 307', 'IPC 302']",44,0,0.07237639319412248,0.48071405648435594,Granted,Middle
Non-violent,['IPC 379'],10,0,0.9541316415710726,0.49885102374427426,Rejected,Middle
Cyber Crime,['IPC 420'],31,1,0.22325540106936093,0.21508522878509284,Granted,Low
Economic,"['IPC 307', 'IPC 307', 'IPC 379']",6,0,0.9223077754835848,0.27186072672591577,Rejected,High
Violent,['IPC 307'],1,1,0.4258931550366818,0.16970523915524494,Granted,Low
Cyber Crime,['Cyber Laws'],7,1,0.985524133255218,0.7184601783231668,Rejected,Low
Violent,"['IPC 379', 'IPC 379', 'IPC 307']",27,1,0.5540583834602107,0.7700890312540819,Granted,Middle
Violent,['Narcotics Act'],21,0,0.9308328641758075,0.4623284974592826,Granted,Low
Non-violent,['IPC 420'],28,1,0.005348988694222845,0.7140870226850174,Rejected,High
Cyber Crime,"['IPC 307', 'IPC 307']",16,0,0.7482388061809001,0.7359353919374455,Granted,Low
Cyber Crime,"['Cyber Laws', 'IPC 420']",46,0,0.9030506531025154,0.1382755276778086,Rejected,Middle
Non-violent,['Cyber Laws'],23,0,0.13972056697895407,0.9661780248345367,Rejected,High
Economic,"['IPC 302', 'IPC 307']",20,0,0.09612585173215149,0.821031947096431,Granted,Middle
Violent,['IPC 302'],38,1,0.4245726071859556,0.2044834611958235,Rejected,Low
Drug-related,"['IPC 379', 'Economic Offenses Act', 'Economic Offenses Act']",25,1,0.9336789061329351,0.18616503574607024,Granted,Low
Violent,"['IPC 379', 'Narcotics Act']",28,1,0.5423865601904387,0.12566114557958274,Granted,Middle
Violent,"['IPC 420', 'Economic Offenses Act']",5,1,0.5274564637217322,0.13837856254191838,Rejected,Middle
Economic,['IPC 420'],21,0,0.14112611829932187,0.7481617990286962,Rejected,High
Violent,"['Cyber Laws', 'IPC 379']",18,0,0.0007895110932187865,0.46965425695162355,Rejected,Middle
Non-violent,"['Narcotics Act', 'Cyber Laws']",47,0,0.8101400907454612,0.7829341727398672,Rejected,Middle
Non-violent,['Cyber Laws'],6,0,0.08757456298623822,0.7462548943502054,Rejected,Low
Cyber Crime,"['Narcotics Act', 'IPC 307', 'Cyber Laws']",29,1,0.633849818735324,0.6046127135052216,Granted,Low
Drug-related,"['IPC 420', 'IPC 420']",19,0,0.9146164545151915,0.6863666065786795,Granted,Middle
Violent,['Narcotics Act'],33,1,0.208651913158431,0.01835572437914179,Rejected,Middle
Violent,['Economic Offenses Act'],1,0,0.6652728362369108,0.31177764680502196,Rejected,Low
Economic,"['IPC 420', 'Narcotics Act', 'Cyber Laws']",45,0,0.07869857670750946,0.6378221792594102,Rejected,High
Non-violent,"['Narcotics Act', 'IPC 307', 'Economic Offenses Act']",3,0,0.603755143837613,0.0093449534862442,Granted,High
Drug-related,"['IPC 307', 'Cyber Laws']",42,0,0.16393172095320274,0.03297694368259341,Granted,High
Cyber Crime,"['IPC 379', 'Economic Offenses Act']",21,1,0.735953560515178,0.8518879824703832,Granted,High
Non-violent,"['IPC 302', 'Economic Offenses Act', 'Cyber Laws']",35,1,0.3012312947939082,0.6840248616920718,Rejected,Low
Cyber Crime,"['Cyber Laws', 'Narcotics Act', 'IPC 420']",41,1,0.46339100880464623,0.26536973312034395,Rejected,Middle
Economic,"['IPC 307', 'Cyber Laws']",40,1,0.5994305420276217,0.687962840118709,Granted,High
Economic,['Economic Offenses Act'],3,0,0.17127341066623958,0.7924566691392633,Rejected,Low
Violent,"['Narcotics Act', 'IPC 420', 'Cyber Laws']",25,0,0.7416378186176209,0.30679428311010126,Rejected,Middle
Drug-related,"['IPC 302', 'Economic Offenses Act', 'IPC 302']",45,1,0.30264034063681455,0.03603737749918745,Granted,High
Cyber Crime,"['Economic Offenses Act', 'IPC 420']",38,1,0.6623718599127535,0.9327791246877345,Granted,Middle
Non-violent,['IPC 379'],45,0,0.15828305069937365,0.3451798382956305,Rejected,High
Economic,"['Economic Offenses Act', 'IPC 379', 'IPC 302']",20,0,0.6881176592063503,0.10648176328470638,Granted,Middle
Violent,"['Narcotics Act', 'IPC 302']",44,1,0.12818807281046174,0.4918568713931474,Rejected,High
Violent,['Cyber Laws'],45,1,0.4253564962699836,0.7684677956641338,Granted,High
Cyber Crime,"['IPC 379', 'Economic Offenses Act', 'Cyber Laws']",34,1,0.24720607373887682,0.22164731461755915,Granted,Middle
Economic,"['Cyber Laws', 'IPC 420', 'IPC 379']",21,0,0.7483752494281826,0.26949005013336336,Rejected,Middle
Drug-related,"['IPC 302', 'IPC 307', 'Narcotics Act']",23,1,0.26203500450687456,0.24271498679858317,Rejected,Middle
Economic,['IPC 420'],6,1,0.8817173063953962,0.9916730528316782,Granted,Low
Cyber Crime,['IPC 307'],13,1,0.8918202114066128,0.19740373373054254,Rejected,Low
Cyber Crime,"['IPC 379', 'Narcotics Act']",23,1,0.19644131522278585,0.575520216966124,Granted,Middle
Economic,"['IPC 302', 'Cyber Laws', 'Cyber Laws']",9,1,0.6138459450077243,0.9252646416569643,Rejected,Low
Cyber Crime,"['Narcotics Act', 'Cyber Laws']",17,0,0.08771764171996432,0.14689656887777924,Granted,High
Economic,['IPC 379'],2,1,0.3915370996016292,0.9708541978677002,Granted,Middle
Non-violent,['IPC 379'],19,0,0.7133217295012723,0.9474772343956246,Granted,Low
Economic,['IPC 379'],19,1,0.6594232468499163,0.8845719870582626,Rejected,Middle
Economic,"['IPC 379', 'Cyber Laws']",7,1,0.624700669406608,0.21455652133000225,Granted,High
Cyber Crime,"['IPC 379', 'Narcotics Act']",42,1,0.2825408636624436,0.6340550560109833,Granted,High
Cyber Crime,['Narcotics Act'],42,0,0.378024949434402,0.7608914729612402,Granted,Low
Violent,['Narcotics Act'],20,0,0.10294614470028618,0.9860279281964297,Granted,High
Violent,"['Narcotics Act', 'IPC 420']",9,0,0.719022820433601,0.18042382208137042,Rejected,Middle
Non-violent,"['IPC 307', 'IPC 420']",17,1,0.5038887967912735,0.7660258995192964,Rejected,Low
Violent,"['Economic Offenses Act', 'Economic Offenses Act']",27,1,0.7087656323456546,0.33880116992711296,Granted,Middle
Economic,"['IPC 379', 'IPC 302']",47,0,0.24894352479687276,0.17562646556800232,Granted,Middle
Cyber Crime,['IPC 420'],2,0,0.3244382286350662,0.42137694121385494,Rejected,Middle
Violent,"['IPC 302', 'Cyber Laws']",36,1,0.33421533726011465,0.7938359121486164,Granted,High
Violent,"['IPC 420', 'IPC 420']",19,0,0.0257424097472162,0.46484980370405216,Rejected,Middle
Non-violent,['Economic Offenses Act'],17,1,0.34104787283062354,0.5375231002030485,Granted,High
Non-violent,['IPC 420'],5,0,0.8033045735180335,0.9951594102001212,Rejected,Middle
Economic,['Cyber Laws'],39,0,0.8972984957497385,0.399109299557426,Granted,High
Cyber Crime,"['Cyber Laws', 'Cyber Laws']",18,0,0.5182183156359275,0.6154007547092398,Rejected,High
Non-violent,"['IPC 379', 'Economic Offenses Act', 'IPC 420']",7,1,0.45550169521922024,0.36524420161537186,Rejected,High
Violent,"['IPC 307', 'Cyber Laws']",17,1,0.030824618699370254,0.39278564632870494,Rejected,Middle
Cyber Crime,"['IPC 307', 'IPC 302', 'Narcotics Act']",39,0,0.8792043375853826,0.6956407534454081,Granted,Middle
Cyber Crime,"['IPC 420', 'IPC 302']",36,1,0.013010213425872719,0.9378869760948835,Rejected,High
Violent,['IPC 420'],40,1,0.9447500802102118,0.5423589504923214,Rejected,Middle
Non-violent,"['IPC 420', 'IPC 307', 'IPC 307']",45,1,0.48921624868809066,0.7683999289487798,Granted,High
Violent,"['IPC 302', 'Narcotics Act', 'IPC 420']",4,1,0.3419344935747266,0.08920655881696382,Granted,Middle
Cyber Crime,"['IPC 302', 'IPC 379']",38,0,0.9242184348426601,0.21115803743192696,Granted,High
Drug-related,"['Cyber Laws', 'Economic Offenses Act', 'Economic Offenses Act']",25,1,0.024390993110096737,0.5021316409195324,Granted,High
Drug-related,"['IPC 379', 'IPC 420']",5,1,0.5814248948690871,0.02001172362877479,Rejected,Low
Economic,"['Economic Offenses Act', 'Narcotics Act', 'IPC 307']",30,0,0.5489325244993376,0.2528549787625588,Granted,Middle
Violent,"['IPC 420', 'Cyber Laws']",12,1,0.21932040121138208,0.5174012898249661,Granted,Middle
Violent,['Narcotics Act'],4,1,0.42888743135021057,0.014961198256300712,Granted,Low
Economic,"['Narcotics Act', 'IPC 307']",24,1,0.6522640059437702,0.2645462862260417,Granted,High
Economic,['IPC 379'],29,0,0.7271311968819275,0.5140308194758695,Granted,High
Economic,"['IPC 307', 'Narcotics Act', 'IPC 302']",9,0,0.0007168587065797816,0.5731492479812457,Granted,Low
Cyber Crime,"['IPC 379', 'IPC 302', 'Narcotics Act']",4,1,0.9368534300910153,0.9257516930553055,Granted,Low
Violent,['Narcotics Act'],24,1,0.1645253723928124,0.6453456232506078,Rejected,High
Cyber Crime,['IPC 302'],14,0,0.2335804342223592,0.41473580252999376,Rejected,Middle
Economic,"['Narcotics Act', 'IPC 420']",5,0,0.26347344569384823,0.9303511771330678,Rejected,Low
Violent,"['IPC 307', 'IPC 302', 'Economic Offenses Act']",18,0,0.03782013655203531,0.7848829833877943,Rejected,Low
Cyber Crime,"['Economic Offenses Act', 'IPC 302']",42,1,0.12305212359032491,0.2000089211127476,Rejected,Low
Cyber Crime,['Narcotics Act'],19,1,0.986349922944162,0.13084236134881977,Granted,Low
Economic,['IPC 307'],12,0,0.31521673737728606,0.675811635742733,Granted,Low
Violent,"['IPC 379', 'IPC 302']",18,1,0.11530109033904934,0.5598831655769838,Granted,Low
Economic,"['Cyber Laws', 'IPC 302', 'IPC 302']",17,1,0.10699126117462332,0.7896736137927557,Granted,High
Violent,"['Cyber Laws', 'Cyber Laws']",30,1,0.7194599676699719,0.7388050500786865,Rejected,High
